"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","0","40","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","0","26","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","0","20","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","0","41","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","0","97","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","0","591","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","0","27","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveTexturedMaterial.EmissiveTexturedMaterial","24","0","4","1","0.000000","0","0"
"/Game/Spacey/Materials/Mat+Metal_Unlit.Mat+Metal_Unlit","24","0","40","1","0.000000","0","0"
"/Game/Spacey/Materials/EnemyColors/mat_Enemy_Emissive.mat_Enemy_Emissive","24","0","55","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_Ship_Shields.mat_Ship_Shields","24","0","20","1","0.000000","0","0"
"/Game/Spacey/Materials/mat_Emissive.mat_Emissive","24","0","2","1","0.000000","0","0"
"/Game/Spacey/Materials/Gems/mat_Gem_Base.mat_Gem_Base","24","0","20","1","0.000000","0","0"
"/Game/Spacey/Materials/EnemyColors/mat_Enemy_Base.mat_Enemy_Base","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_Ship_Green.mat_Ship_Green","24","0","20","1","0.000000","0","0"
"/Engine/MapTemplates/Sky/M_Procedural_Sky_MASTER02.M_Procedural_Sky_MASTER02","24","0","70","2","0.000000","0","35"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","24","0","105","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_Ship_Purple2Sided.mat_Ship_Purple2Sided","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Materials/Particles/mat_Ship_Smoke.mat_Ship_Smoke","24","0","4","1","0.000000","0","0"
"/Game/Spacey/Materials/Particles/mat_Ship_Interior.mat_Ship_Interior","24","0","8","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_Ship_Emiisive_GreenTwoSided.mat_Ship_Emiisive_GreenTwoSided","24","0","115","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_Ship_DarkGaryTwoSided.mat_Ship_DarkGaryTwoSided","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_ShipScreens.mat_ShipScreens","24","0","27","1","0.000000","0","0"
"/Game/Spacey/Materials/dark.dark","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Materials/metalDark.metalDark","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Materials/Meteors-Asteroids/mat_Planet1.mat_Planet1","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Planets/Material_001.Material_001","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Terrain/rockDark.rockDark","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Buildings/metalRed.metalRed","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Buildings/metalDark.metalDark","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Buildings/metal.metal","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Buildings/dark.dark","24","0","35","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Terrain/_defaultMat._defaultMat","24","0","20","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Terrain/rockTrack.rockTrack","24","0","20","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Terrain/rock.rock","24","0","20","1","0.000000","0","0"
"/Game/Spacey/Meshes/Level/Buildings/_defaultMat._defaultMat","24","0","20","1","0.000000","0","0"
"/Game/Spacey/Materials/Sky/M_Procedural_Sky_MASTER02.M_Procedural_Sky_MASTER02","24","35","35","1","35.129330","0","0"
"/Game/Spacey/Materials/Sky/mat_SkyBack.mat_SkyBack","24","0","2","1","0.000000","0","0"
"/Game/Spacey/Materials/PlayerShip/mat_ShipInteriorEngine.mat_ShipInteriorEngine","24","54","54","1","45.202538","0","0"
"/Game/Spacey/Materials/metalRed.metalRed","24","0","20","1","0.000000","0","0"
"/Game/Spacey/Materials/metal.metal","24","0","20","1","0.000000","0","0"
"/Game/Spacey/Materials/mat_Ship_Winshield.mat_Ship_Winshield","24","0","20","1","0.000000","0","0"
